
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1060
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:623            0.0.0.0:0              LISTENING       10672
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       2156
  TCP    0.0.0.0:2103           0.0.0.0:0              LISTENING       2972
  TCP    0.0.0.0:2105           0.0.0.0:0              LISTENING       2972
  TCP    0.0.0.0:2107           0.0.0.0:0              LISTENING       2972
  TCP    0.0.0.0:2492           0.0.0.0:0              LISTENING       4080
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1724
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8480           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8580           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8680           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8999           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:16992          0.0.0.0:0              LISTENING       10672
  TCP    0.0.0.0:17500          0.0.0.0:0              LISTENING       1816
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       788
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       1256
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       1320
  TCP    0.0.0.0:52066          0.0.0.0:0              LISTENING       2972
  TCP    0.0.0.0:63721          0.0.0.0:0              LISTENING       1088
  TCP    0.0.0.0:63723          0.0.0.0:0              LISTENING       848
  TCP    0.0.0.0:64303          0.0.0.0:0              LISTENING       1996
  TCP    0.0.0.0:64974          0.0.0.0:0              LISTENING       856
  TCP    10.200.20.155:139      0.0.0.0:0              LISTENING       4
  TCP    10.200.20.155:56245    10.200.23.17:59270     ESTABLISHED     4568
  TCP    10.200.20.155:56251    10.200.23.17:59270     ESTABLISHED     4568
  TCP    10.200.20.155:56255    10.200.23.17:59343     ESTABLISHED     4568
  TCP    10.200.20.155:56294    10.200.23.17:59343     ESTABLISHED     10284
  TCP    10.200.20.155:56332    10.200.23.17:59270     ESTABLISHED     10284
  TCP    10.200.20.155:56750    10.200.23.50:64330     ESTABLISHED     1996
  TCP    10.220.2.85:139        0.0.0.0:0              LISTENING       4
  TCP    10.220.2.85:445        10.220.2.250:56861     ESTABLISHED     4
  TCP    10.220.2.85:1801       0.0.0.0:0              LISTENING       2972
  TCP    10.220.2.85:2492       65.55.122.234:2492     ESTABLISHED     4080
  TCP    10.220.2.85:50589      173.194.79.125:5222    ESTABLISHED     9016
  TCP    10.220.2.85:56297      173.194.33.21:443      ESTABLISHED     14704
  TCP    10.220.2.85:56307      10.220.1.33:5061       ESTABLISHED     7644
  TCP    10.220.2.85:56327      173.194.79.125:5222    ESTABLISHED     14704
  TCP    10.220.2.85:56402      108.160.162.113:80     ESTABLISHED     1816
  TCP    10.220.2.85:56410      192.241.190.55:443     ESTABLISHED     14704
  TCP    10.220.2.85:57611      207.46.0.152:443       ESTABLISHED     16432
  TCP    10.220.2.85:57628      10.220.1.18:8080       ESTABLISHED     6340
  TCP    10.220.2.85:57630      72.21.91.121:443       ESTABLISHED     14704
  TCP    10.220.2.85:57632      72.21.91.121:443       ESTABLISHED     14704
  TCP    10.220.2.85:57633      72.21.91.121:443       ESTABLISHED     14704
  TCP    10.220.2.85:57634      173.194.33.126:443     ESTABLISHED     14704
  TCP    10.220.2.85:57635      23.21.83.40:443        ESTABLISHED     14704
  TCP    10.220.2.85:57641      173.194.33.35:443      ESTABLISHED     14704
  TCP    10.220.2.85:57642      74.125.21.120:443      ESTABLISHED     14704
  TCP    10.220.2.85:57643      173.194.33.38:443      ESTABLISHED     14704
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       2156
  TCP    127.0.0.1:2559         0.0.0.0:0              LISTENING       11140
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       4080
  TCP    127.0.0.1:19872        127.0.0.1:63816        ESTABLISHED     1816
  TCP    127.0.0.1:56293        0.0.0.0:0              LISTENING       10696
  TCP    127.0.0.1:63816        127.0.0.1:19872        ESTABLISHED     1816
